id,judul,thumbnail,status,tahun,deskripsi,durasi,created_on,last_modified,user_create_id,user_update_id
62,Grisaia: Phantom Trigger the Animation (TV),film_images/0062.jpg,Released,2020,"While Rena and Maki recover from their injuries, the other SORD members jet off overseas for a school trip. Within moments of their arrival, though, the Mihama gang are pulled into a manhunt for a SORD deserter, assisted by student Sylvia and Velvet of St. Aile's International School. Tohka's the star of the show this time round, but she's wrestling with her own issues - old memories of her parents, and a promise to a friend that she wasn't able to keep... (Source: Frontwing)",60,2023-05-07 11:39:12.430300,2023-05-07 11:39:12.430324,,
63,Happy-Go-Lucky Days,film_images/0063.jpg,Released,2020,"A forbidden crush. An ex’s wedding. Burgeoning feelings for a childhood friend. Happy-Go-Lucky Days tells three universally frank stories about the young people of Japan on the bittersweet journey of adolescence. (Source: HIDIVE) The movie was streamed in advance on Chicago Asian Pop Up Cinema from September 15-19, 2020. Official theater release in Japan began on October 23, 2020.",44,2023-05-07 11:39:12.430301,2023-05-07 11:39:12.430325,,
64,Hello World,film_images/0064.jpg,Released,2019,"In Kyoto in the year 2027, Naomi Katagaki, a male high school student encounters a person who is claiming to be Naomi from 10 years in the future. Together, they must change the future and save a classmate, Ruri, whom the younger Naomi starts to date in three months.",97,2023-05-07 11:39:12.430302,2023-05-07 11:39:12.430326,,
65,Hotaru No Haka,film_images/0065.jpg,Released,1988,"In the latter part of World War II, Seita and his sister Setsuko, orphaned when their mother is killed in the firebombing of Tokyo, are left to survive on their own in what remains of civilian life in Japan. The unfortunate siblings do their best to survive in the Japanese countryside, battling hunger, prejudice, and pride in their own quiet, personal battle.",89,2023-05-07 11:39:12.430303,2023-05-07 11:39:12.430327,,
66,Howl's Moving Castle,film_images/0066.jpg,Released,2004,"Sophie Hatter, the eldest of three, is apprenticed to make hats for the people of Ingary, a place where spells, magic cloaks, and seven-league boots exist. She and all the young girls are warned to stay inside or be taken by Howl, the evil wizard whose black castle can be seen moving through the hills. After an encounter with a witch and with a spell cast on her to make her an old woman, Sophie goes to seek adventure. She heads towards Howl's moving castle where she will encounter things she had never imagined.Source: ANN",119,2023-05-07 11:39:12.430304,2023-05-07 11:39:12.430328,,
67,I Want to Eat Your Pancreas,film_images/0067.jpg,Released,2018,"Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change. (Source: Aniplex USA)",108,2023-05-07 11:39:12.430305,2023-05-07 11:39:12.430329,,
68,In This Corner of the World,film_images/0068.jpg,Released,2016,"Newly-wed Urano Suzu moves to her new life in Kure City on the coast of Hiroshima Prefecture, where she perseveres through World War II with pluck and determination.Note: The movie premiered at Tokyo International Film Festival 2016. Regular cinematic release started on November 12.",129,2023-05-07 11:39:12.430306,2023-05-07 11:39:12.430330,,
69,Into the Forest of Fireflies' Light,film_images/0069.jpg,Released,2011,"The story of Hotarubi no Mori e centers around Hotaru, a little girl who gets lost in an enchanted forest where apparitions reside. A young boy, Gin, appears before Hotaru, but she cannot touch him for fear of making him disappear.",45,2023-05-07 11:39:12.430307,2023-05-07 11:39:12.430331,,
70,Is the Order a Rabbit?? Dear My Sister,film_images/0070.jpg,Released,2017,"Cocoa visits her family, in the mountains, after quite some time again after her sister Mocha wrote her, through a letter, to come back soon. Her friends will have to spend a week in the town without her, while Cocoa has time with her family that she hasn't seen for a long time. But Chino, Cocoa's self proclaimed little sister, wants to go watch, with Cocoa and all her friends, the fireworks in the fireworks festival, which is coming up in less than a week. Cocoa decides to return early as she misses them all, but will she arrive in time for the climax of the festival? (Source: TMDB)",60,2023-05-07 11:39:12.430308,2023-05-07 11:39:12.430332,,
71,"Josee, the Tiger and the Fish.",film_images/0071.jpg,Released,2020,"Based on Tanabe Seiko's short romantic story.Josee is physically disabled and cannot walk without a wheelchair, so she has spent her life like a doll living in her own imagination world. Tsuneo is a university student who has been chasing his dream. They meet by chance and are attracted to each other. Then, Josee decides to go with him to the outside world.Source: Crunchyroll",98,2023-05-07 11:39:12.430309,2023-05-07 11:39:12.430333,,
72,JUJUTSU KAISEN 0,film_images/0072.jpg,Released,2021,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him? (Source: Viz Media)",97,2023-05-07 11:39:12.430310,2023-05-07 11:39:12.430334,,
73,K-ON!: The Movie,film_images/0073.jpg,Released,2011,"With graduation right around the corner, every member of the Light Music Club except for Azusa will be leaving for good. But the girls aren’t going to let something as silly as graduation tear them apart! For their final hurrah, the girls are going on the ultimate vacation tour— all the way to London! Their overseas journey will lead them on a trip of discovery and friendship as they take the stage one last time for their final encore together. (Source: Sentai Filmworks)",110,2023-05-07 11:39:12.430311,2023-05-07 11:39:12.430335,,
74,Kaze Tachinu,film_images/0074.jpg,Released,2013,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",126,2023-05-07 11:39:12.430312,2023-05-07 11:39:12.430336,,
75,Kiki's Delivery Service,film_images/0075.jpg,Released,1989,"Kiki is thirteen years old, right at the age when a young witch in training is supposed to travel to another city and strike out for herself. It is a real test of responsibility and independence, and if Kiki can handle it for a year, she will be ready to undergo the rest of her education.So, with only a little money, her pet cat/confidante Jiji, and her mother's broom, Kiki makes her way to a big city by the sea, where witches have not been seen for years and the demand for them is not exactly significant. Being resourceful, Kiki starts the kind of business most suitable for a witch who can fly on a broom: an airborne package delivery service. As her fledgling business becomes more and more successful, she meets various friends who each teach her about independence, inspiration, and what to do on days when both seem to vanish.",103,2023-05-07 11:39:12.430313,2023-05-07 11:39:12.430337,,
76,"Kimi To, Nami Ni Noretara",film_images/0076.jpg,Released,2019,"Hinako is a surf-loving college student who has just moved to a small seaside town. When a sudden fire breaks out at her apartment building, she is rescued by Minato, a handsome firefighter, and the two soon fall in love. Just as they become inseparable, Minato loses his life in an accident at sea. Hinako is so distraught that she can no longer even look at the ocean, but one day she sings a song that reminds her of their time together, and Minato appears in the water. From then on, she can summon him in any watery surface as soon as she sings their song, but can the two really remain together forever? And what is the real reason for Minato's sudden reappearance?",94,2023-05-07 11:39:12.430314,2023-05-07 11:39:12.430338,,
77,KINMOZA! Pretty Days,film_images/0077.jpg,Released,2016,"One of the best parts about being in a group of friends is that you usually have a couple of guardian angels watching over you. So, when Shinobu has to both write a script as well as make costumes for a play for the school festival, it doesn't take long for her classmates to realize that someone might have bitten off more than she can chew. Or write and sew, in this case. Fortunately for Shinobu's theatrical future, Alice, Yoko, and Aya are glad to pitch in, and that allows for a chance to reflect on their experiences in the days before Alice arrived. Will everything be finished in time, or will the audience be in stitches because of the ones coming apart onstage? (Source: Sentai Filmworks)",59,2023-05-07 11:39:12.430315,2023-05-07 11:39:12.430339,,
78,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,film_images/0078.jpg,Released,2019,"A video game-loving shut-in, Satou Kazuma's life should've ended when he was hit by a truck, but through a twist of fate, he ends up reincarnating in another world--and dragging the troublemaking goddess, Aqua, the wildly dorky mage, Megumin, and the unrelentingly delusional lady knight, Darkness, with him. Now, the Crimson Demon village that Megumin and Yunyun are from is facing a threat that could mean its ending. Kazuma and his gang follow Yunyun, who returns to the Crimson Demon village intent on saving it... when they are faced with their greatest threat yet! What will become of the unremarkable adventurer Kazuma's life in another world?! (Source: Crunchyroll)",90,2023-05-07 11:39:12.430316,2023-05-07 11:39:12.430340,,
79,Laid-Back Camp the Movie,film_images/0079.jpg,Released,2022,"Based on Afro's slow outdoor seinen manga.Shima Rin has left her hometown in Yamanashi to live on her own in Nagoya while working for a small publishing company there. On one winter's weekend in the not-too-distant future, as she's planning a bike tour, she unexpectedly receives a message from an old high school friend, Oogaki Chiaki, saying she's currently in Nagoya. Chiaki now works for an organization promoting tourism in Yamanashi, and she's in charge of a project to reopen a facility that was closed a few years ago. When Rin casually suggests that such a large property would make a good campground, Chiaki is inspired. She gathers up all of their old camping buddies—Kagamihara Nadeshiko, who works at an outdoor goods store in Tokyo; Inuyama Aoi, who's now an elementary school teacher in their hometown of Yamanashi; and Saitou Ena, who works at a dog grooming salon in Yokohama—and the campground-opening project is set in motion. So the story of five outdoorsy girls who became friends thanks to their shared love of camping begins once more, taking on a new challenge with the knowledge and experience they've gained.Source: Crunchyroll",77,2023-05-07 11:39:12.430317,2023-05-07 11:39:12.430341,,
80,The Last: Naruto the Movie,film_images/0080.jpg,Released,2014,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",112,2023-05-07 11:39:12.430318,2023-05-07 11:39:12.430342,,
81,Liz and the Blue Bird,film_images/0081.jpg,Released,2018,"Students and best friends Mizore Yoroizuka and Nozomi Kasaki prepare to play a complex musical duet, Liz and the Blue Bird, for oboe and flute. Though they play beautifully together and have been friends since childhood, Mizore and Nozomi find that with graduation looming and the duet proving difficult, their friendship begins to buckle under the pressure. Interspersed with their story is the fantasy tale of Liz, drawn like a storybook, contrasting with the crisp realism of the school. (Source: Shout! Factory)",90,2023-05-07 11:39:12.430319,2023-05-07 11:39:12.430343,,
82,"Love Me, Love Me Not",film_images/0082.jpg,Released,2020,"The story centers around Yuna and Akari who have two very different views of love: Yuna is someone who sees love as a dream and Akari is someone who is very realistic about her romance choices. Meanwhile, there are two boys, Kazuomi and Rio, who also have different views of love: Kazuomi's an airhead and doesn't understand the concept of love, while Rio grabs the opportunity when confessed to as long as the girl looks cute.",103,2023-05-07 11:39:12.430320,2023-05-07 11:39:12.430344,,
83,"Love, Chunibyo & Other Delusions: Take on Me",film_images/0083.jpg,Released,2018,"Rikka is now a third-year student, but she still has ""chuunibyou"" syndrome. University entrance exams loom on the horizon, and it's spring break, and Yuuta and Rikka are together as usual. One day, Rikka's older sister Touka declares that she's going to take Rikka to Italy with her, as Touka is moving to Italy for work and she thinks they should move together as a family. Yuuta understands Touka's opinion, but thinks that at this rate he and Rikka will be separated. Shinka and the other members suggest that Yuuta and Rikka should ""elope,"" and thus sets the stage for Yuuta and Rikka's travels throughout Japan in their escape drama. (Source: Anime News Network)",94,2023-05-07 11:39:12.430321,2023-05-07 11:39:12.430345,,
84,Mai-Mai Miracle,film_images/0084.jpg,Released,2009,"The story is set in 1955 in Kokuga, Hofu City, Yamaguchi Prefecture. One thousand years ago it was the site of the ancient capital, Suo no Kuni, and traces of the Heian Period (year 794-1185) are passed down to us in the form of ruins and historical place names. The protagonist is Shinko, a third grade elementary school student, who was born and raised in one of the town's venerable families. She is a little girl whose characteristic is a strange curl on her forehead (she calls it her ""Mai Mai""), and her love for playing in the fields. On the other hand, her secret joy is to imagine and to daydream about the world of one thousand years ago. Her fantasies travel far into the days of the Heian Period… One day, a girl called Kiiko transfers from Tokyo and enters Shinko's class. This girl from the big city has difficulty feeling at home in this small town, but gradually her friendship with Shinko deepens. Before long, the two of them become engulfed in a strange incident of one thousand years earlier...?!",95,2023-05-07 11:39:12.430322,2023-05-07 11:39:12.430346,,
85,Maquia: When the Promised Flower Blooms,film_images/0085.jpg,Released,2018,"The people of Iorph live far away from the lands of men, weaving the happenings of each day into a fabric called Hibiol. They live for centuries while maintaining their youthful appearance. Maquia, an orphaned Iorph girl, lives her life in an oasis surrounded by friends, yet somehow feels “alone”. But the tranquil lives of the Iorph are shattered in an instant when the Mezarte army invades their territory on a dragon fleet, seeking the blood that grants the Iorph long life. Maquia manages to escape, but loses her friends and her home in the chaos. She then encounters an orphaned baby who is “alone”. Maquia raises this boy ""Ariel"", with the help of some new friends. But as the era changes, the bond between Maquia and Ariel changes too, amidst a backdrop of racial tensions between the Iorph and the Mezarte. This is a story of irreplaceable time, woven by two lonely people who can only find solace in each other. (Source: Eleven Arts)",115,2023-05-07 11:39:12.430323,2023-05-07 11:39:12.430347,,
86,Misaki No Mayoiga,film_images/0086.jpg,Released,2021,"17-year-old run-away Yui and 8-year-old Hiyori, who lost her family and her voice, have no place to go when they run into Kiwa, a strange old lady. She offers them a place to stay, in a slightly banged-up old house overlooking the sea, a Mayoiga. Despite joining Kiwa on a whim, the two girls find comfort in Mayoiga, a legendary house, said to look after lost travelers, and the warm hospitality of Kiwa. Both girls' damaged hearts begin to heal little by little. Until one day, a variety of strange beings which Kiwa calls “Fushigitto” begin popping up around the house. (Source: Eleven Arts)",100,2023-05-07 11:39:12.430324,2023-05-07 11:39:12.430348,,
87,My Hero Academia: Heroes Rising,film_images/0087.jpg,Released,2019,"The second installment in the Boku no Hero Academia movie franchise. The aspiring heroes of UA Class 1-A have been given a new training opportunity during their winter break: To establish and maintain their own professional Hero Agency on the idyllic island of Nabu far off the coast of Japan. There, they'll experience the everyday travails of being heroes, for the first time without the support of their instructors or chaperons. It's a challenging assignment, but one the plucky students of UA are more than equipped to face – that is, until the arrival of a team of villains lead by the ruthless Nine and his eerily familiar quirk. Cut off from any backup and facing their greatest threat yet, it's up to Deku, Bakugo, and their classmates to face unspeakable danger to protect not only the people of the island, but the future of all Hero society. (Source: Anime News Network)",104,2023-05-07 11:39:12.430325,2023-05-07 11:39:12.430349,,
88,"No Game, No Life Zero",film_images/0088.jpg,Released,2017,"A movie adaptation of the sixth volume of the light novel series announced at the MF Bunko J Summer School Festival 2016 event. Six thousand years before Sora and Shiro were even a blink in the history of Disboard, war consumed the land, tearing apart the heavens, destroying stars, and even threatening to wipe out the human race. Amid the chaos and destruction, a young man named Riku leads humanity toward the tomorrow his heart believes in. One day, in the ruins of an Elf city, he meets Schwi, a female exiled ""Ex Machina"" android who asks him to teach her what it means to have a human heart. (Source: Sentai Filmworks)",106,2023-05-07 11:39:12.430326,2023-05-07 11:39:12.430350,,
89,Non Non Biyori: Vacation,film_images/0089.jpg,Released,2018,"The movie for Non Non Biyori series. Summer vacation is drawing to an end. When Suguru wins a free trip to Okinawa, all of the five students of Asahigaoka branch school are excited to end their vacation with a bang. Along with Hikage, Konomi, and their teacher and the candy store owner, everyone goes to Okinawa for a fun three-day trip. There, Natsumi makes friends with Aoi, the girl who helps out at the hotel they stay in.",71,2023-05-07 11:39:12.430327,2023-05-07 11:39:12.430351,,
90,One Piece Film: Red,film_images/0090.jpg,Released,2022,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as ""otherworldly.""She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound. The story begins with the shocking fact that she is ""Shanks' daughter.""Uta stands on the stage, with the ordinary wish of ""Making the world happy with my music."" There's Gordon, a mysterious character who knows Uta's past, and glimpses of Shanks' shadow. On Elegia, the island of music, Luffy and Uta reunite for the first time since they last met 12 years ago in Foosha Village.Source: Official Website",108,2023-05-07 11:39:12.430328,2023-05-07 11:39:12.430352,,
91,Over the Sky,film_images/0091.jpg,Released,2020,"Mio has feelings for Shin, and always thinks about him, but has never been able to tell him how she feels. One day, they get into an argument over something trivial, and sometime afterward, Mio decides to make up with him. As she heads to Shin while being drenched by the rain, she gets into a traffic accident. When Mio regains consciousness, she finds herself in a new and unfamiliar world.Source: ANN",90,2023-05-07 11:39:12.430329,2023-05-07 11:39:12.430353,,
92,Patema Inverted,film_images/0092.jpg,Released,2013,"In an underground world where tunnels extend everywhere, even though they live in dark and confined spaces, people wear protective clothes and lead quiet and enjoyable lives. Patema, a princess in her underground village, loves to explore the tunnels. Her favorite place is a ""danger zone"" that her village prohibits people from entering. Even though she's scolded, Patema's curiosity can't be held back. No one ever explained what the supposed danger was. On her usual trip to the ""danger zone,"" Patema faces unexpected events. When hidden secrets come to light, the story begins to unfold. (Source: Anime News Network)",99,2023-05-07 11:39:12.430330,2023-05-07 11:39:12.430354,,
93,Ponyo on the Cliff by the Sea,film_images/0093.jpg,Released,2008,"A young boy, Sousuke, befriends a strange looking goldfish whom he names Ponyo. Unbeknownst to Sousuke, Ponyo is a magic fish who has decided that she wants to live with Sousuke and the other humans. Unfortunately, Ponyo's decision to give up her underwater life creates a crack in an ancient magic spell, and places the world in danger. Together, Sousuke and Ponyo must set things right.Source: ANN",101,2023-05-07 11:39:12.430331,2023-05-07 11:39:12.430355,,
94,The Quintessential Quintuplets Movie,film_images/0094.jpg,Released,2022,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",96,2023-05-07 11:39:12.430332,2023-05-07 11:39:12.430356,,
95,Rascal Does Not Dream of a Dreaming Girl,film_images/0095.jpg,Released,2019,"In Fujisawa, where the skies are bright and the seas glisten, Sakuta Azusagawa is in his second year of high school. His blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted with the appearance of his first crush, Shouko Makinohara. For reasons unknown, he encounters two Shouko's: one in middle school and another who has become an adult. As Sakuta finds himself helplessly living with the Shouko's, the adult Shouko leads him around by the nose, causing a huge rift in his relationship with Mai. In the midst of all of this, he discovers that the middle school Shouko is suffering from a grave illness and his scar begins to throb... (Source: Aniplex USA)",90,2023-05-07 11:39:12.430333,2023-05-07 11:39:12.430357,,
96,Re:ZERO -Starting Life in Another World- OVAs,film_images/0096.jpg,Released,2018,"Episode 1 - Memory Snow Subaru Natsuki finally gets to take a breather, but he does not waste any time as he prepares for a date with his beloved Emilia. He scouts the nearby village for the right dating spot, and with the help of the village children, he finds a wonderful location. With that, he is well prepared for his date! Unfortunately for Subaru, cold weather suddenly sweeps across Roswaal's mansion on his important day, leaving him with no choice but to postpone the date. Overnight, it becomes even colder and unbearable. Subaru must get to the bottom of this because, at this rate, his date will be the least of his worries. Episode 2 - The Frozen Bond Covered in ice and snow, Elior Forest is the home to dangerous magical beasts and 50 elves frozen in ice. One day, the great spirit Puck helps a young girl break out of her ice prison. Her name is Emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil Witch who destroyed half the world long ago. Shunned by society because of her appearance, Emilia dwells in the forest with Puck as her sole companion and family. Burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. But when the great spirit Melakuera, the Arbitrator of the world, finds Emilia, her right to stay alive is brought into question. Will the bonds of ice she formed with Puck prove to be the warm thread that defies fate?",25,2023-05-07 11:39:12.430334,2023-05-07 11:39:12.430358,,
97,Saekano the Movie: Finale,film_images/0097.jpg,Released,2019,"After Eriri and Utaha leave Blessing Software, Tomoya and Megumi work alongside Izumi, Michiru, and Hashima in order to create their next game together: ""How to Raise a Boring Girlfriend."" However, Tomoya is stuck when it comes to writing the main heroine Meguri's route. And to make things even more complicated, Eriri and Utaha are encountering troubles on their own after a series of complications around their work on Fields Chronicle. Can Tomoya maintain his commitments to both Megumi and Blessing Software, as well as Eriri and Utaha? (Source: Anime News Network)",119,2023-05-07 11:39:12.430335,2023-05-07 11:39:12.430359,,
98,A Silent Voice,film_images/0098.jpg,Released,2016,"After transferring into a new school, a deaf girl, Shouko Nishimiya, is bullied by the popular Shouya Ishida. As Shouya continues to bully Shouko, the class turns its back on him. Shouko transfers and Shouya grows up as an outcast. Alone and depressed, the regretful Shouya finds Shouko to make amends. (Source: Eleven Arts)",130,2023-05-07 11:39:12.430336,2023-05-07 11:39:12.430360,,
99,Spirited Away,film_images/0099.jpg,Released,2001,"For the 10-year-old Chihiro and her family, a mysterious tunnel and haunted town located in everyday Japan lead to the Land of Spirits, inhabited by gods and monsters and ruled by the greedy witch Yubaaba. Chihiro's parents are transformed into pigs; to rescue them, she must surrender her name and serve in this world. Luckily she finds friends and allies, including the handsome but mysterious boy Haku. Initially sulky and listless, Chihiro (or Sen, as she is now called) finds inner strength and establishes an identity in this strange world. But can she win back her name and return home?Source: AnimeNfo",125,2023-05-07 11:39:12.430337,2023-05-07 11:39:12.430361,,
100,Your Name.,film_images/0100.jpg,Released,2016,"Collaboration commercials with Suntory and Kimi no Na wa.. The ""Mitsuha no Omoi"" (Mitsuha's Thoughts) commercial shows the character Mitsuha Miyamizu drinking SUNTORY Minami Alps Tennensui Yogurina, which is yogurt-flavored mineral water. The ""Taki no Omoi"" (Taki's Thoughts) commercial shows the character Taki Tachibana drinking SUNTORY Minami Alps Ten'nensui, which is mineral water. The ""Kasanaru Omoi"" (Overlap Thoughts) commercial shows both Taki and Mitsuha combining their thoughts through mixed dialogue with some alternative footage and a new song. (Source: Anime News Network)",106,2023-05-07 11:39:12.430338,2023-05-07 11:39:12.430362,,
